N,NSTEPS,TIEMPO(s)
10000,100,0.098147
10000,500,0.608247
10000,1000,0.946184
10000,2000,1.542480
10000,5000,3.166065
50000,100,0.108313
50000,500,0.464575
50000,1000,0.929212
50000,2000,2.030526
50000,5000,5.275847
100000,100,0.079201
100000,500,0.525616
100000,1000,0.731346
100000,2000,1.489685
100000,5000,4.119083
500000,100,0.128262
500000,500,0.557431
500000,1000,1.069692
500000,2000,2.301130
500000,5000,6.063753
1000000,100,0.152025
1000000,500,0.712639
1000000,1000,1.519310
1000000,2000,2.786248
1000000,5000,7.216308
